attribute_code,dimension_value,vision,name,second_name,father_attribute_code,father_dimension_value,end_date
00001,1.0,0,Retail Credit Cards,Retail Credit Cards,,,9999-12-31
00001,2.0,0,Retail Consumer,Retail Consumer,,,9999-12-31
00001,3.0,0,Retail Mortgages,Retail Mortgages,,,9999-12-31
00001,4.0,0,Retail Consumer Other,Retail Consumer Other,,,9999-12-31
00001,5.0,0,SME I,SME I,,,9999-12-31
00001,6.0,0,SME II,SME II,,,9999-12-31
00001,7.0,0,Non Global Corporate,Non Global Corporate,,,9999-12-31
00001,8.0,0,Public sector Institutions,Public sector Institutions,,,9999-12-31
00001,9.0,0,Global Corporate,Global Corporate,,,9999-12-31
00001,10.0,0,Banks,Banks,,,9999-12-31
00001,11.0,0,Other Financial Institutions,Other Financial Institutions,,,9999-12-31
00001,12.0,0,Sovereign Local Currency,Sovereign Local Currency,,,9999-12-31
00001,13.0,0,Soberanos moneda extranjera,Soberanos moneda extranjera,,,9999-12-31