DOMAIN_CODE;SEGMENTATION_CODE;Name;SEGMENTATION_TYPE
00001;00001;IRB Capital Segmentation;01
00001;00002;STD Capital Segmentation;01
00001;00003;Economic Capital Segmentation;01
00004;00001;ICAAP Segmentation (Corp);01
00004;00002;ICAAP Segmentation (Local);02
00005;00001;Business Area Segmentation;01
00005;00002;Geography;01
00005;00003;Product;01
00005;00004;Local Business Area Segmentation;02
00005;00005;Local Geography;02
00005;00006;Local Product;02
00006;00001;Stress Test Segmentation (EBA);01
00007;00001;FINREP Segmentation;01
00013;00002;Credit Risk Segmentation (Local);02
00013;00003;Comercial and Strategic Plan (PEC);02